#,built,q,graph,x,y,enc,why,suggested,demo,nodata,skipped,value
18,False,Where are the issues concentrated?,File/repository heatmap,Repository,File/path,Color = findings; size/text = severity,The ai_comments.file_path field makes file-level concentration directly possible. Show only top files per repo.,,,ai_comments has 0 rows in this dev DB - no file_path data to build this from.,False,1. 2.
19,False,What is the blast radius of issues being caught?,Bubble scatterplot,Findings per review,Files affected,Bubble size = severity/LOC; color = category,Each bubble = review or issue cluster. Large/high-severity bubbles in the upper-right are the reviews where LR prevented potentially large problems. File-level blast radius is supported by ai_comments.file_path; dependency-level blast radius would require additional metadata.,,,ai_comments has 0 rows in this dev DB - no findings to bubble-plot yet.,False,1. 2.
20,False,How much does LiveReview save versus alternatives?,Waterfall chart,Cost components,USD,Positive = avoided cost; negative = LR cost,"Start with hypothetical alternative cost, subtract LR LLM cost + subscription, arrive at net savings. Vega-Lite explicitly has a waterfall example.",,./cost_waterfall.html,,False,1. 2.
21,False,How much code has LR reviewed?,Horizon graph,Day,LOC,Layer intensity,Extremely compact long-term view. Useful when the dashboard needs to show 30–90 days without consuming much space. Vega-Lite has a native horizon-graph pattern.,,./loc_horizon.html,,False,1. 2.
22,False,Are reviews getting faster?,Line + percentile bands,Day,Review duration,Median line; p50/p90/p95 bands,A CTO cares less about average latency than whether the tail is becoming problematic. Layered/error-band techniques are well supported.,,./latency_bands.html,,False,1. 2.
23,False,How much engineering work is being covered by LR?,Dual layered line,Day,LOC reviewed,Line 1 = LOC; line 2 = reviews,Add a derived LOC/review tooltip. This distinguishes more reviews from genuinely more code being inspected.,,./loc_vs_reviews.html,,False,1. 2.
24,False,Are reviews becoming more iterative?,Histogram / violin / box plot,Reviews per commit,Count of commits,Color = trigger,Distribution is more revealing than an average. A long right tail means some commits are being reviewed repeatedly.,,./reviews_per_commit.html,,False,1. 2.
25,False,Which engineers are getting the most value from LR?,2D scatterplot,Reviews/engineer,Useful findings/engineer,Size = LOC; color = feedback acceptance,"Separates “heavy users” from “productive users.” If feedback is sufficiently populated, this can become one of the most interesting charts.",,./value_scatter.html,,False,1. 2.
26,False,Are people trusting the reviews?,Diverging stacked bar,Engineer/team,Feedback count,Up vs down,"review_feedback explicitly records up/down votes and severity, so this is grounded in the schema.",,./feedback_trust.html,,False,1. 2.
27,False,Which repositories have the highest review coverage?,Bubble chart,Reviews / PRs,LOC reviewed / LOC changed,Size = engineers; color = coverage,Useful if you can establish total changed LOC/PRs from the Git-host data. This distinguishes high LR usage from genuinely broad coverage.,,./repo_coverage.html,,False,1. 2.
28,False,What does a healthy engineering-review workflow look like?,Connected scatterplot,Review stage / latency,Finding severity or review iteration,Point = period; connected chronologically,Plot successive weekly states and connect them. The trajectory itself becomes meaningful: more pre-commit reviews + lower latency + fewer late critical findings. Connected scatterplots are explicitly supported by Vega-Lite.,,,review_feedback.severity has only 15 rows total across ~10 weeks - too sparse to plot a meaningful weekly trajectory.,False,1. 2.
29,False,How much of the organization's activity is covered by the top users?,Cumulative area / Pareto,Engineers ranked by activity,Cumulative % of reviews,Line + bars,Makes “adoption is broad” vs “three people are doing everything” immediately apparent.,,./engineer_pareto.html,,False,1. 2.
30,False,What changed between week 1 and week 2?,Two-dimensional change matrix,Metric,Metric,Color = delta,"Rows = reviews, LOC, active engineers, repos, pre-commit %, critical findings, etc. Columns = W1/W2/delta. This can become a compact “14-day verdict.”",,./change_matrix.html,,False,1. 2.
